Date,Income,Cash,Online,Expenditure
7/1/2024,$530.00 ,,$530.00 ,
7/2/2024,$645.00 ,$500.00 ,$145.00 ,$20.00 
7/3/2024,$960.00 ,$200.00 ,$760.00 ,$60.00 
7/4/2024,$575.00 ,,$575.00 ,
7/5/2024,"$1,795.00 ",$135.00 ,"$1,660.00 ",$500.00 
7/6/2024,"$1,850.00 ",$940.00 ,$910.00 ,
7/7/2024,$982.00 ,$410.00 ,$572.00 ,
7/8/2024,$650.00 ,$500.00 ,$150.00 ,"$2,304.00 "
7/9/2024,"$1,087.00 ",$285.00 ,$802.00 ,$140.00 
7/10/2024,$774.00 ,$150.00 ,$624.00 ,$40.00 
7/11/2024,$677.00 ,$260.00 ,$417.00 ,
7/12/2024,$865.00 ,$190.00 ,$675.00 ,$60.00 
7/13/2024,"$1,550.00 ",$530.00 ,"$1,020.00 ",
7/14/2024,$875.00 ,$470.00 ,$405.00 ,
7/15/2024,$250.00 ,$170.00 ,$80.00 ,
7/16/2024,"$1,095.00 ",$955.00 ,$140.00 ,$60.00 
7/17/2024,"$1,890.00 ",$940.00 ,$950.00 ,
7/18/2024,"$1,660.00 ",$670.00 ,$970.00 ,$20.00 
7/19/2024,$995.00 ,$400.00 ,$595.00 ,
7/20/2024,"$1,410.00 ",$570.00 ,$840.00 ,
7/21/2024,$820.00 ,$250.00 ,$570.00 ,
7/22/2024,$885.00 ,$320.00 ,$565.00 ,
7/23/2024,$790.00 ,$320.00 ,$470.00 ,
7/24/2024,$415.00 ,$140.00 ,$275.00 ,
7/25/2024,$195.00 ,$90.00 ,$105.00 ,
7/26/2024,$467.00 ,$207.00 ,$330.00 ,
7/27/2024,"$1,255.00 ",$830.00 ,$425.00 ,
7/28/2024,"$1,035.00 ",$290.00 ,$745.00 ,
7/29/2024,"$1,542.00 ",$245.00 ,"$1,297.00 ",
7/30/2024,$445.00 ,$25.00 ,$420.00 ,$830.00 
7/31/2024,"$1,485.00 ",$50.00 ,"$1,435.00 ",
,"$30,449.00 ","$10,722.00 ",$19.73 ,
,,,,
8/1/2024,$250.00 ,$40.00 ,$210.00 ,
8/2/2024,$590.00 ,$320.00 ,$250.00 ,
8/3/2024,"$1,180.00 ",$120.00 ,"$1,060.00 ",
8/4/2024,"$1,270.00 ",$760.00 ,$510.00 ,"$1,300.00 "
8/5/2024,$260.00 ,$40.00 ,$220.00 ,
8/6/2024,"$1,140.00 ",$350.00 ,$790.00 ,"$8,812.50 "
8/7/2024,"$1,430.00 ",$440.00 ,$990.00 ,
8/8/2024,$490.00 ,$490.00 ,,$300.00 
8/9/2024,"$1,345.00 ",$190.00 ,"$1,155.00 ",$130.00 
8/10/2024,"$1,150.00 ",$430.00 ,$720.00 ,
8/11/2024,"$1,070.00 ",$570.00 ,$500.00 ,
8/12/2024,"$1,130.00 ",$650.00 ,$480.00 ,
8/13/2024,$300.00 ,$110.00 ,$190.00 ,
8/14/2024,$410.00 ,$50.00 ,$360.00 ,$450.00 
8/15/2024,$910.00 ,$320.00 ,$590.00 ,
8/16/2024,$688.00 ,$260.00 ,$428.00 ,
8/17/2024,$755.00 ,$100.00 ,,
8/18/2024,"$1,370.00 ",$270.00 ,"$1,100.00 ",
8/19/2024,$150.00 ,$30.00 ,$126.00 ,
8/20/2024,$640.00 ,$170.00 ,$470.00 ,
8/21/2024,$770.00 ,$200.00 ,$570.00 ,$200.00 
8/22/2024,$800.00 ,$140.00 ,$660.00 ,
8/23/2024,$990.00 ,$55.00 ,$935.00 ,
8/24/2024,$815.00 ,$385.00 ,$430.00 ,
8/25/2024,"$1,115.00 ",$620.00 ,$495.00 ,
8/26/2024,$380.00 ,$105.00 ,,
8/27/2024,"$1,630.00 ",$275.00 ,"$1,355.00 ",$100.00 
8/28/2024,$980.00 ,$400.00 ,$580.00 ,
8/29/2024,"$1,285.00 ",$590.00 ,$695.00 ,$120.00 
8/30/2024,"$1,475.00 ",$850.00 ,$625.00 ,
,"$26,768.00 ","$10,274.00 ","$16,494.00 ",
,,,,
9/1/2024,$825.00 ,$355.00 ,$470.00 ,
9/2/2024,$570.00 ,$350.00 ,$220.00 ,
9/3/2024,$670.00 ,$150.00 ,$420.00 ,$100.00 
9/4/2024,$790.00 ,$160.00 ,$630.00 ,
9/5/2024,$370.00 ,$45.00 ,$325.00 ,$35.00 
9/6/2024,"$1,155.00 ",$750.00 ,$405.00 ,$130.00 
9/7/2024,$735.00 ,$255.00 ,$480.00 ,$49.00 
9/8/2024,$970.00 ,$260.00 ,$710.00 ,
9/9/2024,"$1,580.00 ",$350.00 ,"$1,230.00 ",
